L,cov1,cov2
0,[3.79243322e-07 3.46295322e-14],[3.46295322e-14 5.66765374e-15]
1,[ 4.05233380e-07 -7.28469264e-15],[-7.28469264e-15  6.21103071e-15]
2,[3.79106174e-07 3.62892915e-14],[3.62892915e-14 5.61275536e-15]
3,[3.90098019e-07 2.91370111e-14],[2.91370111e-14 6.07406914e-15]
4,[ 3.86829982e-07 -1.43595129e-14],[-1.43595129e-14  5.60075902e-15]
5,[ 4.02744829e-07 -1.61973325e-14],[-1.61973325e-14  5.56547839e-15]
6,[ 4.22658469e-07 -2.51186624e-14],[-2.51186624e-14  6.39805963e-15]
7,[ 4.41867335e-07 -2.21964370e-14],[-2.2196437e-14  6.3156642e-15]
8,[ 4.27755815e-07 -1.95357835e-14],[-1.95357835e-14  5.89053864e-15]
9,[ 4.45099859e-07 -1.23436072e-14],[-1.23436072e-14  5.99607703e-15]
10,[ 3.88221307e-07 -5.32211384e-14],[-5.32211384e-14  5.54229463e-15]
11,[4.23173041e-07 6.05270330e-15],[6.05270330e-15 6.25006098e-15]
12,[ 4.12892368e-07 -2.64399179e-14],[-2.64399179e-14  6.41728067e-15]
13,[3.93090753e-07 7.81843704e-15],[7.81843704e-15 5.71949000e-15]
14,[ 4.12425048e-07 -2.93446752e-15],[-2.93446752e-15  4.94588432e-15]
15,[3.88809545e-07 1.68564303e-14],[1.68564303e-14 5.26005171e-15]
16,[3.78595017e-07 3.30503816e-14],[3.30503816e-14 4.81972564e-15]
17,[ 3.81297040e-07 -1.28000522e-14],[-1.28000522e-14  4.87451111e-15]
18,[3.46560006e-07 1.47305720e-14],[1.47305720e-14 4.54303772e-15]
19,[ 3.76124397e-07 -1.91557941e-15],[-1.91557941e-15  4.90941457e-15]
20,[ 3.83905571e-07 -9.35191028e-15],[-9.35191028e-15  5.29591045e-15]
21,[4.29410853e-07 6.62331187e-14],[6.62331187e-14 6.16502759e-15]
22,[ 3.93353157e-07 -2.94806211e-14],[-2.94806211e-14  5.63008069e-15]
23,[3.78989105e-07 1.08006389e-14],[1.08006389e-14 5.16784219e-15]
24,[ 3.60323309e-07 -1.25077014e-14],[-1.25077014e-14  4.79765770e-15]
25,[3.56061612e-07 2.84146897e-15],[2.84146897e-15 4.78050455e-15]
26,[ 3.8570243e-07 -4.2217667e-14],[-4.22176670e-14  5.05750308e-15]
27,[3.79329895e-07 5.24312944e-14],[5.24312944e-14 5.16155894e-15]
28,[3.67650132e-07 1.00569425e-14],[1.00569425e-14 4.73156782e-15]
29,[3.63358134e-07 3.12482964e-14],[3.12482964e-14 4.78341450e-15]
30,[3.22048321e-07 1.18108183e-15],[1.18108183e-15 4.35245332e-15]
31,[ 3.34983414e-07 -1.49287295e-14],[-1.49287295e-14  3.88881926e-15]
32,[ 3.54687633e-07 -7.82126286e-15],[-7.82126286e-15  5.13454351e-15]
33,[3.53015486e-07 2.83128307e-14],[2.83128307e-14 4.40011999e-15]
34,[3.70369526e-07 1.07640479e-15],[1.07640479e-15 5.14470485e-15]
35,[3.31569055e-07 1.43701213e-14],[1.43701213e-14 4.39952407e-15]
36,[ 3.50732446e-07 -1.14228865e-14],[-1.14228865e-14  5.03376806e-15]
37,[3.48100053e-07 2.09905014e-14],[2.09905014e-14 4.14262418e-15]
38,[3.11338164e-07 9.96838037e-15],[9.96838037e-15 3.99193282e-15]
39,[3.80120265e-07 8.55907003e-15],[8.55907003e-15 4.86182464e-15]
40,[3.34744772e-07 2.01814246e-14],[2.01814246e-14 3.66630326e-15]
41,[3.45497635e-07 9.21883756e-15],[9.21883756e-15 4.45238540e-15]
42,[3.60503913e-07 1.06951169e-14],[1.06951169e-14 4.42953294e-15]
