,l,vargg,var_ig,cov
,300,3.7924332163152e-07,5.667653740158649e-15,3.4629532202145805e-14
,301,4.052333803084168e-07,6.211030708747397e-15,-7.28469264316203e-15
,302,3.7910617360425774e-07,5.612755359358215e-15,3.628929153984924e-14
,303,3.9009801894216374e-07,6.074069138049361e-15,2.913701106566711e-14
,304,3.8682998215500784e-07,5.600759019197309e-15,-1.4359512852226266e-14
,305,4.0274482861346796e-07,5.5654783881157404e-15,-1.61973324558878e-14
,306,4.2265846880929133e-07,6.398059633255956e-15,-2.5118662371364484e-14
,307,4.4186733454182425e-07,6.315664198641317e-15,-2.219643704405379e-14
,308,4.277558154616941e-07,5.890538639615451e-15,-1.953578345712334e-14
,309,4.4509985947963347e-07,5.9960770338227465e-15,-1.234360723995569e-14
,310,3.882213072016272e-07,5.542294628164737e-15,-5.3221138396477915e-14
,311,4.231730406682698e-07,6.250060977201366e-15,6.052703295806257e-15
,312,4.1289236763637225e-07,6.4172806678157995e-15,-2.6439917947143894e-14
,313,3.9309075279368063e-07,5.71949000196368e-15,7.818437042595304e-15
,314,4.1242504759244976e-07,4.945884324158493e-15,-2.9344675231330125e-15
,315,3.8880954500612e-07,5.2600517129813425e-15,1.685643034215956e-14
,316,3.7859501735400153e-07,4.8197256379029094e-15,3.3050381635235125e-14
,317,3.8129703951110636e-07,4.874511106038779e-15,-1.2800052205025785e-14
,318,3.4656000599719105e-07,4.543037717043949e-15,1.473057204703956e-14
,319,3.7612439684100013e-07,4.909414568079843e-15,-1.915579407141187e-15
,320,3.83905571246534e-07,5.2959104516350196e-15,-9.351910281371579e-15
,321,4.2941085342153e-07,6.16502758517944e-15,6.623311867793144e-14
,322,3.9335315709185943e-07,5.63008069457518e-15,-2.948062114113764e-14
,323,3.789891051725319e-07,5.167842191033225e-15,1.0800638905144712e-14
,324,3.6032330910702174e-07,4.797657704791877e-15,-1.2507701419714783e-14
,325,3.56061612190336e-07,4.780504550545446e-15,2.8414689697611615e-15
,326,3.857024304495506e-07,5.057503084493105e-15,-4.221766702652249e-14
,327,3.7932989456342915e-07,5.1615589429161486e-15,5.2431294432668034e-14
,328,3.6765013216185533e-07,4.731567820877208e-15,1.0056942522654178e-14
,329,3.6335813437972175e-07,4.783414495506831e-15,3.124829641953393e-14
,330,3.2204832104546926e-07,4.3524533235555335e-15,1.1810818286499974e-15
,331,3.3498341380823894e-07,3.888819262554113e-15,-1.492872954084664e-14
,332,3.546876325288254e-07,5.1345435147364796e-15,-7.821262855117115e-15
,333,3.5301548584885883e-07,4.40011999229647e-15,2.8312830742281124e-14
,334,3.703695263142548e-07,5.1447048482460475e-15,1.0764047852739915e-15
,335,3.315690548028538e-07,4.39952406767117e-15,1.4370121344279507e-14
,336,3.5073244642068267e-07,5.033768064209483e-15,-1.1422886497662037e-14
,337,3.4810005311730245e-07,4.142624178831771e-15,2.0990501437936124e-14
,338,3.113381644411677e-07,3.991932821407405e-15,9.968380367045631e-15
,339,3.8012026473605093e-07,4.8618246445983914e-15,8.559070028956285e-15
,340,3.3474477202053366e-07,3.666303258426914e-15,2.018142455366987e-14
,341,3.454976352637189e-07,4.45238540227548e-15,9.218837557159967e-15
,342,3.605039126284159e-07,4.429532943035672e-15,1.0695116874488278e-14
,343,3.228472710752224e-07,4.0176820652319226e-15,3.047669358763774e-14
,344,3.571662488117983e-07,4.236853462758523e-15,2.966874232705321e-14
,345,3.109830725823964e-07,3.745665319222722e-15,9.886606788805958e-15
,346,3.2799977547757343e-07,3.727399306740393e-15,-6.58930493188974e-16
,347,3.271567114405947e-07,4.085227761674509e-15,7.258366479440726e-15
,348,3.347941320520439e-07,3.7807916368141625e-15,1.78958558488182e-14
,349,3.6820844145749e-07,4.530561228247015e-15,8.62171495926132e-15
,350,3.2621481875580185e-07,3.645180884120767e-15,1.3667085380633185e-14
,351,3.278739369518771e-07,3.6575463630692514e-15,1.2611321832632817e-14
,352,3.399314206276333e-07,3.743415030435512e-15,2.574829679134776e-15
,353,2.961038393270206e-07,3.4478452733570767e-15,-1.4802685377550827e-14
,354,3.0814844838685175e-07,3.560594001040903e-15,2.128576063510712e-15
,355,3.013524091051648e-07,3.257324376902108e-15,-2.351497545082951e-14
,356,3.415678462119811e-07,3.784523270574407e-15,-5.1659780771894305e-15
,357,3.4504978060176e-07,4.093336822236299e-15,-6.696547965444562e-15
,358,3.1317549185390557e-07,3.5037952544293324e-15,3.754189325918738e-15
,359,3.3776980246662575e-07,3.603336643338309e-15,-2.081751732900114e-14
,360,2.9834684472411704e-07,3.688472949745415e-15,-1.4472466752758072e-14
,361,3.3740237471593927e-07,4.136064446354947e-15,9.719406688743122e-15
,362,3.3768862030982805e-07,4.300378873926683e-15,1.3788085263245902e-14
,363,3.164996550711314e-07,4.129220948885747e-15,4.276786955197073e-14
,364,3.255591716190962e-07,3.629137147175135e-15,-1.0769729314090314e-14
,365,3.0144186809252753e-07,3.487279915154411e-15,-1.985686751602686e-14
,366,2.85038085625661e-07,3.0686049790064594e-15,-8.155628796975674e-15
,367,2.7168723696850213e-07,3.102539782044013e-15,-6.675785826134782e-15
,368,2.8965670297317025e-07,3.062093293670698e-15,-5.9349960222604426e-15
