z,l,cl,cggb,ciib,err
.4-.5,"370.0 ","1.506013e-08 ","0.000028 ","2.184272e-08 ",4.703117e-09
.4-.5,"510.0 ","1.593685e-08 ","0.000023 ","1.336927e-08 ",2.896507e-09
.4-.5,"650.0 ","1.071126e-08 ","0.000021 ","8.795661e-09 ",1.990181e-09
.4-.5,"790.0 ","1.097310e-08 ","0.000020 ","6.163139e-09 ",1.475381e-09
.4-.5,"930.0 ","5.175340e-09 ","0.000019 ","4.518513e-09 ",1.141826e-09
.5-.6,"370.0 ","1.978991e-08 ","0.000017 ","2.184272e-08 ",3.688096e-09
.5-.6,"510.0 ","1.171537e-08 ","0.000014 ","1.336927e-08 ",2.215856e-09
.4-.6,"650.0 ","7.942316e-09 ","0.000012 ","8.795661e-09 ",1.497501e-09
.5-.6,"790.0 ","7.446980e-09 ","0.000011 ","6.163139e-09 ",1.120052e-09
.5-.6,"930.0 ","6.870062e-09 ","0.000011 ","4.518513e-09 ",8.565230e-10
.6-.8,"370.0 ","1.790125e-08 ","0.000024 ","2.184272e-08 ",4.380035e-09
.6-.8,"510.0 ","1.605489e-08 ","0.000021 ","1.336927e-08 ",2.756789e-09
.6-.8,"650.0 ","1.315309e-08 ","0.000019 ","8.795661e-09 ",1.919777e-09
.6-.8,"790.0 ","9.853609e-09 ","0.000019 ","6.163139e-09 ",1.445627e-09
.6-.8,"930.0 ","1.066743e-08 ","0.000018 ","4.518513e-09 ",1.116729e-09
,,,,,
